temperature in °C,description,date
,Sunny,2021-05-24T11:57:08.299Z
,Partly cloudy,2021-05-24T11:04:57.786Z
,Partly cloudy,2021-05-24T10:04:14.859Z
,Partly cloudy,2021-05-24T09:02:02.292Z
,Sunny,2021-05-24T07:57:38.952Z
,Sunny,2021-05-24T07:12:48.461Z
,Sunny,2021-05-24T06:01:30.417Z
,Sunny,2021-05-24T05:17:35.348Z
,Partly cloudy,2021-05-24T04:16:24.906Z
,Partly cloudy,2021-05-24T03:23:43.069Z
,Partly cloudy,2021-05-24T02:09:44.772Z
,Partly cloudy,2021-05-24T00:00:28.155Z
,Clear,2021-05-23T22:57:43.878Z
,Clear,2021-05-23T21:57:11.672Z
,Clear,2021-05-23T20:55:42.461Z
,Clear,2021-05-23T19:55:45.787Z
,Clear,2021-05-23T19:14:40.994Z
,Clear,2021-05-23T18:18:30.900Z
,Clear,2021-05-23T17:33:05.832Z
,Sunny,2021-05-23T16:07:30.668Z
,Sunny,2021-05-23T14:55:44.106Z
,Sunny,2021-05-23T13:59:26.840Z
,Sunny,2021-05-23T13:18:24.079Z
,Sunny,2021-05-23T11:55:47.804Z
,Sunny,2021-05-23T10:59:23.626Z
,Sunny,2021-05-23T09:59:58.465Z
,Sunny,2021-05-23T08:59:32.967Z
,Sunny,2021-05-23T07:55:47.180Z
,Sunny,2021-05-23T07:10:01.561Z
,Sunny,2021-05-23T06:00:51.925Z
,Sunny,2021-05-23T05:17:08.144Z
,Sunny,2021-05-23T04:18:14.733Z
,Sunny,2021-05-23T03:26:58.782Z
,Sunny,2021-05-23T02:12:40.392Z
,Sunny,2021-05-23T00:01:16.794Z
,Sunny,2021-05-22T22:58:02.854Z
,Clear,2021-05-22T21:57:27.162Z
,Clear,2021-05-22T20:55:47.251Z
,Clear,2021-05-22T19:55:42.770Z
,Clear,2021-05-22T19:16:54.495Z
,Clear,2021-05-22T18:20:39.546Z
,Clear,2021-05-22T17:34:30.472Z
,Clear,2021-05-22T16:07:11.331Z
,Sunny,2021-05-22T14:55:46.671Z
,Sunny,2021-05-22T13:59:05.096Z
,Sunny,2021-05-22T13:16:17.951Z
,Partly cloudy,2021-05-22T11:55:45.187Z
,Partly cloudy,2021-05-22T10:59:40.922Z
,Partly cloudy,2021-05-22T10:01:20.261Z
,Partly cloudy,2021-05-22T09:01:14.196Z
,Sunny,2021-05-22T07:56:44.241Z
,Sunny,2021-05-22T07:10:04.260Z
,Sunny,2021-05-22T06:19:08.828Z
